n;cover time
100;3644
100;3862
100;3590
100;3406
100;2217
100;5244
100;4474
100;5369
100;3210
100;2893
100;2952
100;5340
100;3300
100;4693
100;1938
100;1979
100;2592
100;3128
100;3676
100;2931
100;1684
100;3517
100;3592
100;2923
100;7219
100;5982
100;4694
100;3832
100;4526
100;2103
100;2082
100;4360
100;1836
100;3104
100;3991
100;1939
100;3268
100;2320
100;4197
100;2026
100;2718
100;3336
100;5891
100;1838
100;5146
100;3166
100;3288
100;2600
100;6236
100;4486
100;4310
100;5254
100;3672
100;4404
100;3730
100;3084
100;3901
100;4276
100;5958
100;2768
100;2566
100;2620
100;3840
100;4344
100;3044
100;2356
100;3160
100;4128
100;3714
100;2338
100;3307
100;4276
100;3774
100;2624
100;3168
100;2512
100;3189
100;2538
100;2060
100;3495
100;4737
100;2692
100;4542
100;3288
100;3625
100;2349
100;3428
100;2132
100;6618
100;3704
100;4384
100;3994
100;4700
100;3962
100;4257
100;9974
100;2700
100;2834
100;3864
100;4534
150;10694
150;8012
150;5568
150;7774
150;4476
150;8475
150;7650
150;5892
150;4152
150;8966
150;6157
150;7366
150;6458
150;6546
150;7163
150;3796
150;4370
150;9324
150;4130
150;7304
150;7484
150;8071
150;6628
150;4752
150;4350
150;7942
150;6056
150;4602
150;5814
150;7118
150;7610
150;5815
150;11228
150;5458
150;4804
150;7070
150;7074
150;6706
150;6142
150;6180
150;9326
150;6148
150;3822
150;7534
150;6966
150;3982
150;7986
150;3841
150;7445
150;11668
150;4466
150;7547
150;9626
150;14266
150;10279
150;4333
150;6464
150;5747
150;6766
150;6330
150;5678
150;6938
150;4120
150;4715
150;4156
150;6407
150;6219
150;3822
150;4423
150;4340
150;6928
150;4669
150;8259
150;8055
150;8440
150;14476
150;4652
150;6015
150;5156
150;9051
150;4490
150;8138
150;7622
150;4248
150;5559
150;6614
150;4171
150;5424
150;6083
150;4706
150;4898
150;7873
150;4800
150;12132
150;5401
150;7885
150;9042
150;4502
150;6767
150;7174
200;16345
200;5852
200;8469
200;16361
200;7414
200;8725
200;11439
200;12909
200;7951
200;7595
200;7417
200;16695
200;8703
200;6491
200;15769
200;19502
200;6596
200;4971
200;7609
200;6621
200;7331
200;9928
200;9673
200;8385
200;9868
200;13619
200;6441
200;6619
200;8909
200;13728
200;6867
200;10791
200;10451
200;10795
200;8301
200;14917
200;12502
200;9017
200;6613
200;8889
200;12239
200;9485
200;9079
200;13601
200;12027
200;14729
200;6257
200;13316
200;8943
200;9428
200;7642
200;8812
200;8021
200;12055
200;9407
200;14091
200;16112
200;10295
200;9255
200;16152
200;11855
200;14035
200;14732
200;10517
200;6120
200;7199
200;10857
200;14386
200;9793
200;10314
200;13299
200;8148
200;9199
200;5760
200;8986
200;10021
200;17663
200;11455
200;8367
200;10262
200;10553
200;8620
200;11339
200;10429
200;9166
200;14783
200;7849
200;8779
200;8804
200;12956
200;10807
200;26297
200;24533
200;4730
200;7719
200;5351
200;6468
200;8794
200;7387
200;10488
250;9287
250;14077
250;12085
250;9117
250;12927
250;12219
250;22217
250;18659
250;10343
250;9099
250;14237
250;12705
250;13989
250;11127
250;7321
250;10063
250;10311
250;13285
250;13033
250;20427
250;12435
250;20679
250;16619
250;17325
250;16375
250;13019
250;14501
250;8489
250;14693
250;17699
250;24231
250;12269
250;18995
250;23301
250;9403
250;7585
250;22023
250;16479
250;20589
250;23845
250;11819
250;20831
250;16949
250;16625
250;6533
250;13029
250;9843
250;15221
250;8817
250;16265
250;13741
250;20389
250;17687
250;15903
250;12401
250;11153
250;10305
250;17607
250;12949
250;18553
250;11903
250;7151
250;24581
250;18355
250;11195
250;13303
250;11019
250;16129
250;20413
250;13189
250;11449
250;13023
250;12373
250;19135
250;11801
250;11795
250;11891
250;12411
250;13147
250;23791
250;10591
250;16043
250;12635
250;19219
250;10489
250;16459
250;8665
250;13313
250;18589
250;10349
250;19889
250;13041
250;9907
250;15987
250;10019
250;19469
250;8393
250;12043
250;8767
250;10907
300;14009
300;19886
300;33167
300;18911
300;24099
300;19127
300;9667
300;20740
300;15528
300;26944
300;17733
300;11086
300;12159
300;11327
300;14726
300;18946
300;18494
300;20414
300;15543
300;14476
300;13912
300;22397
300;18869
300;16521
300;19567
300;9422
300;11984
300;23409
300;16942
300;14557
300;17727
300;15543
300;25705
300;17235
300;18865
300;16177
300;17143
300;30111
300;16314
300;14131
300;10773
