Graf jest dwudzielny.
V0 	| V1
1	| 2
4	| 3
5	| 8
6	| 9
7	| 10
16	| 11
17	| 12
18	| 13
19	| 14
20	| 15
21	| 32
22	| 33
23	| 34
24	| 35
25	| 36
26	| 37
27	| 38
28	| 39
29	| 40
30	| 41
31	| 42
64	| 43
65	| 44
66	| 45
67	| 46
68	| 47
69	| 48
70	| 49
71	| 50
72	| 51
73	| 52
74	| 53
75	| 54
76	| 55
77	| 56
78	| 57
79	| 58
80	| 59
81	| 60
82	| 61
83	| 62
84	| 63
85	| 
86	| 
87	| 
88	| 
89	| 
90	| 
91	| 
92	| 
93	| 
94	| 
95	| 
96	| 
97	| 
98	| 
99	| 
100	| 
101	| 
102	| 
103	| 
104	| 
105	| 
106	| 
107	| 
108	| 
109	| 
110	| 
111	| 
112	| 
113	| 
114	| 
115	| 
116	| 
117	| 
118	| 
119	| 
120	| 
121	| 
122	| 
123	| 
124	| 
125	| 
126	| 
127	| 
Czas wykonywania: 0 minut 0.000599 sekund
