n	liczbaPorównań	maksLiczbaPorównańDlaJednejOperacji	liczbaOdczytówIPodstawieńWskaźników	maksLiczbaOdczytówIPodstawień	średniaWysokośćDrzewaPoKażdejOperacji	maksWysokośćDrzewa
10000	448960	59	409781	48	27.3625	31
10000	448541	61	409777	47	28.0088	31
10000	439360	55	403599	45	26.5645	29
10000	420697	55	390999	42	25.6597	30
10000	452261	65	412615	47	30.5177	34
10000	448090	61	409180	45	28.8985	35
10000	448447	65	409198	44	30.8513	36
10000	458091	63	415749	43	29.0863	33
10000	439925	59	404166	43	28.049	32
10000	424648	53	393954	41	25.0723	29
10000	460241	65	416940	47	30.7408	35
10000	423109	59	393524	47	27.1591	33
10000	484211	63	433825	44	29.1589	34
10000	464269	59	420164	46	27.3889	31
10000	469734	63	423786	51	28.7206	33
10000	438825	53	403434	45	24.9049	29
10000	421129	57	390885	49	26.5969	30
10000	448136	55	409034	43	26.7082	30
10000	428732	55	396998	42	26.2629	31
10000	431817	55	398163	40	25.4126	30
20000	1024740	67	903940	50	30.8731	34
20000	955634	63	858361	46	29.7087	34
20000	1071420	67	935645	48	31.6214	37
20000	994485	61	883865	45	29.773	34
20000	1039356	67	914234	48	29.7471	34
20000	966634	65	865264	48	29.22	34
20000	993932	63	884933	47	29.9112	33
20000	960188	61	861625	47	28.8842	32
20000	948286	67	853525	46	29.9338	34
20000	1031300	71	909274	47	32.6276	36
20000	922493	61	836134	46	28.5099	33
20000	968827	61	867179	46	28.6028	33
20000	981490	65	876484	50	29.9424	35
20000	936217	59	844550	44	28.5239	31
20000	927475	61	840213	47	28.3728	33
20000	949093	67	854828	47	29.1518	34
20000	976773	63	871808	46	27.9473	32
20000	1016324	67	898718	50	31.5013	36
20000	995170	69	884950	48	31.6118	35
20000	911992	59	829724	43	28.0338	32
30000	1466236	63	1308369	46	29.3665	34
30000	1600523	65	1398163	53	30.7646	34
30000	1496149	67	1329068	49	30.8466	35
30000	1515548	67	1341195	50	30.3359	34
30000	1535816	69	1355404	51	31.5033	35
30000	1497255	71	1329321	48	32.8625	37
30000	1520687	71	1345729	47	30.8944	36
30000	1459302	69	1304908	46	31.1683	37
30000	1490169	65	1324921	45	29.39	34
30000	1480414	65	1319246	46	29.6621	34
30000	1706225	73	1468864	51	35.0271	38
30000	1590317	71	1391383	50	33.4625	36
30000	1546450	79	1361704	52	36.3997	41
30000	1496639	65	1330234	51	30.9943	36
30000	1451727	61	1299102	45	29.2354	34
30000	1545580	65	1361686	51	31.8695	36
30000	1528829	73	1351858	52	31.9156	38
30000	1548537	69	1364334	47	31.6697	35
30000	1502444	67	1334498	49	30.504	34
30000	1607642	69	1406698	53	33.2984	37
40000	2085053	69	1832432	49	33.3025	38
40000	2148348	75	1875511	52	33.7734	41
40000	2051099	69	1811321	50	31.6086	37
40000	2175788	69	1891804	48	32.6737	36
40000	2028050	67	1794358	48	31.1186	35
40000	1976572	63	1759036	48	29.0619	34
40000	1993504	61	1772023	46	29.5866	33
40000	2270499	75	1957815	54	36.2219	39
40000	2084163	67	1831074	49	31.6624	36
40000	2183405	77	1897910	50	36.2532	40
40000	2232836	73	1931256	49	33.0798	37
40000	2157499	77	1880274	53	36.7081	41
40000	2092327	69	1838683	53	32.3751	37
40000	2212345	79	1916471	51	36.3679	41
40000	2185107	73	1898360	50	35.5162	39
40000	2151438	67	1876033	49	32.0432	37
40000	2125850	75	1862199	51	35.0892	39
40000	2207876	79	1915574	53	37.0065	42
40000	2035615	65	1798899	48	30.4567	35
40000	2223001	75	1924467	50	33.6386	38
50000	2674785	71	2336783	48	32.7717	37
50000	2780513	69	2407330	51	32.655	37
50000	2599878	75	2286732	54	34.2923	39
50000	2597466	69	2284816	51	32.7942	38
50000	2838582	73	2445867	53	34.9081	39
50000	2733096	77	2374943	49	34.735	39
50000	2681577	69	2342299	50	32.6464	36
50000	2858045	71	2457488	52	34.7031	38
50000	2609055	69	2293520	51	32.9875	37
50000	2903483	71	2487130	49	32.6274	36
50000	2678881	73	2338085	56	34.8745	39
50000	2791432	69	2414336	49	32.7557	36
50000	2698808	71	2353006	52	33.6886	38
50000	2690096	75	2345789	51	35.2769	38
50000	3102806	75	2622289	52	34.6948	38
50000	2928677	77	2504113	51	36.3457	40
50000	2671467	73	2334270	52	33.1546	38
50000	2815217	75	2430316	53	35.0878	39
50000	2736822	73	2379504	48	32.7091	37
50000	2812668	73	2428219	50	33.189	38
60000	3145129	71	2759543	49	33.4798	38
60000	3316021	79	2875071	51	36.3448	41
60000	3266056	67	2842030	52	32.989	38
60000	3529443	73	3014485	53	34.573	38
60000	3513400	73	3006169	53	34.8955	40
60000	3425169	79	2948916	53	35.6439	40
60000	3450974	71	2965162	50	32.9918	37
60000	3221630	73	2813377	49	34.783	39
60000	3471614	79	2977501	55	35.4266	40
60000	3248152	69	2829769	49	32.5231	38
60000	3435229	79	2952875	54	37.2979	41
60000	3366129	75	2907243	53	34.9779	39
60000	3336442	73	2888531	48	33.9687	38
60000	3356821	69	2903029	49	33.0797	38
60000	3167320	71	2775940	52	32.9974	37
60000	3312786	71	2873605	50	33.3648	37
60000	3133546	71	2750074	51	33.6766	37
60000	3290907	77	2855559	50	34.1026	39
60000	3601722	73	3064092	52	34.6054	39
60000	3211118	65	2804533	51	31.351	34
70000	4013580	77	3450979	55	37.6897	43
70000	3925581	75	3391925	52	33.8485	39
70000	3810485	69	3316428	51	32.4973	37
70000	3871053	75	3357952	50	34.1745	39
70000	3980796	73	3427223	54	34.2717	38
70000	3978530	75	3426987	53	35.7509	40
70000	4006206	77	3444641	52	35.1646	40
70000	4097305	79	3504118	51	36.3982	42
70000	3866711	71	3352281	50	33.5284	38
70000	3895980	75	3371492	54	34.8802	38
70000	4039784	83	3467466	54	38.3171	43
70000	3758420	71	3278227	49	32.469	36
70000	3739894	77	3267872	59	34.8976	41
