n	czas	liczbaPorównań
1000	14654	1000000
1000	15741	1000000
1000	16449	1000000
1000	14155	1000000
1000	14933	1000000
1000	14324	1000000
1000	13986	1000000
1000	14682	1000000
1000	14303	1000000
1000	15191	1000000
1000	14579	1000000
1000	14140	1000000
1000	14875	1000000
1000	14740	1000000
1000	14704	1000000
1000	13908	1000000
1000	14215	1000000
1000	15651	1000000
1000	13964	1000000
1000	13861	1000000
1000	15589	1000000
1000	14044	1000000
1000	13707	1000000
1000	14340	1000000
1000	15114	1000000
1000	14610	1000000
1000	14187	1000000
1000	14771	1000000
1000	14762	1000000
1000	13893	1000000
1000	14202	1000000
1000	13616	1000000
1000	13166	1000000
1000	15073	1000000
1000	13532	1000000
1000	14070	1000000
1000	14552	1000000
1000	14327	1000000
1000	14460	1000000
1000	14301	1000000
1000	15137	1000000
1000	14037	1000000
1000	15624	1000000
1000	14429	1000000
1000	13918	1000000
1000	14195	1000000
1000	14880	1000000
1000	14080	1000000
1000	14023	1000000
1000	14387	1000000
1000	15350	1000000
1000	13936	1000000
1000	14031	1000000
1000	14066	1000000
1000	13926	1000000
1000	13854	1000000
1000	14400	1000000
1000	13914	1000000
1000	14534	1000000
1000	14917	1000000
1000	14428	1000000
1000	15691	1000000
1000	14143	1000000
1000	14864	1000000
1000	15400	1000000
1000	14362	1000000
1000	14067	1000000
1000	13430	1000000
1000	14742	1000000
1000	13658	1000000
1000	14021	1000000
1000	14158	1000000
1000	14246	1000000
1000	14100	1000000
1000	14197	1000000
1000	13829	1000000
1000	14205	1000000
1000	14176	1000000
1000	14393	1000000
1000	14109	1000000
1000	15075	1000000
1000	14224	1000000
1000	14001	1000000
1000	14218	1000000
1000	13884	1000000
1000	14335	1000000
1000	13447	1000000
1000	14175	1000000
1000	13286	1000000
1000	14107	1000000
1000	14532	1000000
1000	14132	1000000
1000	14304	1000000
1000	13192	1000000
1000	14015	1000000
1000	14823	1000000
1000	13964	1000000
1000	14162	1000000
1000	13993	1000000
1000	13937	1000000
1000	13619	1000000
1000	14727	1000000
1000	13474	1000000
1000	14749	1000000
1000	13617	1000000
1000	13589	1000000
1000	14839	1000000
1000	14208	1000000
1000	14478	1000000
1000	13177	1000000
1000	14159	1000000
1000	15425	1000000
1000	15312	1000000
1000	15003	1000000
1000	13820	1000000
1000	14279	1000000
1000	13463	1000000
1000	14299	1000000
1000	13202	1000000
1000	14547	1000000
1000	13317	1000000
1000	14081	1000000
1000	16338	1000000
1000	14532	1000000
1000	14380	1000000
1000	14358	1000000
1000	15221	1000000
1000	13524	1000000
1000	14001	1000000
1000	14226	1000000
1000	14965	1000000
1000	14973	1000000
1000	13738	1000000
1000	15805	1000000
1000	15066	1000000
1000	13900	1000000
1000	13735	1000000
1000	13824	1000000
1000	15261	1000000
1000	14676	1000000
1000	15118	1000000
1000	13832	1000000
1000	13396	1000000
1000	14091	1000000
1000	14290	1000000
1000	13353	1000000
1000	15558	1000000
1000	13436	1000000
1000	14357	1000000
1000	14103	1000000
1000	14906	1000000
1000	15473	1000000
1000	16216	1000000
1000	15106	1000000
1000	14334	1000000
1000	14008	1000000
1000	13995	1000000
1000	14445	1000000
1000	14143	1000000
1000	14142	1000000
1000	15219	1000000
1000	13790	1000000
1000	13750	1000000
1000	14841	1000000
1000	14168	1000000
1000	14273	1000000
1000	15296	1000000
1000	14222	1000000
1000	13992	1000000
1000	14656	1000000
1000	13715	1000000
1000	14322	1000000
1000	13963	1000000
1000	13998	1000000
1000	15112	1000000
1000	15494	1000000
1000	14814	1000000
1000	14224	1000000
1000	13920	1000000
1000	14896	1000000
1000	14107	1000000
1000	14246	1000000
1000	14616	1000000
1000	14027	1000000
1000	15767	1000000
1000	14798	1000000
1000	14861	1000000
1000	14283	1000000
1000	14476	1000000
1000	14309	1000000
1000	15244	1000000
1000	14411	1000000
1000	14866	1000000
1000	14514	1000000
1000	14246	1000000
1000	14172	1000000
1000	14010	1000000
1000	14024	1000000
1000	14117	1000000
1000	14775	1000000
1000	14162	1000000
1000	14141	1000000
1000	13897	1000000
1000	13839	1000000
1000	14759	1000000
1000	14001	1000000
