n;Bn;Un;Ln;Cn;Dn;Dn-Cn
1000;23;366;5;8204;9919;1715
1000;26;380;6;8397;8435;38
1000;42;371;5;8290;10038;1748
1000;31;386;5;6790;8399;1609
1000;23;361;5;7581;10411;2830
1000;52;357;6;6045;8455;2410
1000;37;375;5;5790;9442;3652
1000;85;354;4;6342;9597;3255
1000;21;378;8;7172;8716;1544
1000;36;355;5;7281;8971;1690
1000;20;356;6;6444;7623;1179
1000;55;355;6;8760;9298;538
1000;13;354;6;7868;10736;2868
1000;67;375;6;7788;11738;3950
1000;57;362;5;7858;8516;658
1000;31;360;5;7317;9813;2496
1000;73;363;6;8467;9151;684
1000;34;364;6;6147;8212;2065
1000;75;375;8;5807;8535;2728
1000;25;357;5;7499;9498;1999
1000;33;377;6;6818;8343;1525
1000;71;381;6;6599;9549;2950
1000;47;368;5;9324;9406;82
1000;26;360;5;9395;9523;128
1000;65;369;5;6455;10702;4247
1000;79;373;5;7865;8641;776
1000;67;367;5;9840;11424;1584
1000;29;370;5;11021;11501;480
1000;30;361;8;8327;10369;2042
1000;102;361;5;7144;15179;8035
1000;27;363;7;5751;12464;6713
1000;32;359;5;9181;10315;1134
1000;56;362;6;8312;9267;955
1000;42;357;5;6807;10180;3373
1000;59;361;4;6212;11152;4940
1000;50;365;5;7382;11325;3943
1000;22;370;6;9247;11023;1776
1000;15;354;5;6990;9921;2931
1000;13;365;6;7863;9389;1526
1000;38;355;6;7510;9034;1524
1000;53;367;5;8044;9332;1288
1000;30;367;5;7455;9948;2493
1000;21;358;5;6305;11296;4991
1000;45;363;5;6108;9303;3195
1000;15;368;7;8806;13538;4732
1000;54;370;6;6855;13373;6518
1000;17;353;5;8411;9301;890
1000;43;355;6;8031;10916;2885
1000;37;366;5;5967;7784;1817
1000;8;377;6;6247;9085;2838
2000;50;752;6;15193;19104;3911
2000;40;726;6;13983;23648;9665
2000;92;725;6;16863;18692;1829
2000;61;751;5;15582;17807;2225
2000;42;757;7;13481;20435;6954
2000;44;740;6;23030;26859;3829
2000;51;743;6;13466;20258;6792
