n;cover time
100;470
100;451
100;464
100;872
100;647
100;499
100;611
100;575
100;611
100;459
100;552
100;524
100;516
100;424
100;568
100;479
100;542
100;470
100;450
100;369
100;563
100;604
100;472
100;445
100;550
100;459
100;447
100;524
100;380
100;564
100;365
100;700
100;492
100;624
100;562
100;558
100;423
100;552
100;377
100;614
100;438
100;462
100;588
100;383
100;543
100;625
100;472
100;546
100;446
100;457
100;610
100;403
100;423
100;402
100;468
100;466
100;941
100;721
100;658
100;312
100;559
100;308
100;570
100;312
100;474
100;511
100;402
100;423
100;522
100;794
100;430
100;366
100;498
100;542
100;837
100;427
100;389
100;445
100;548
100;594
100;606
100;595
100;523
100;454
100;432
100;598
100;644
100;581
100;364
100;468
100;578
100;405
100;388
100;628
100;761
100;609
100;540
100;464
100;671
100;720
150;732
150;795
150;632
150;831
150;1110
150;1032
150;645
150;1149
150;521
150;627
150;719
150;1171
150;780
150;826
150;846
150;569
150;761
150;649
150;869
150;949
150;826
150;759
150;633
150;716
150;608
150;612
150;711
150;839
150;647
150;871
150;948
150;679
150;783
150;781
150;929
150;722
150;775
150;842
150;769
150;859
150;873
150;692
150;580
150;770
150;839
150;866
150;825
150;900
150;613
150;896
150;1296
150;810
150;512
150;738
150;715
150;707
150;945
150;870
150;641
150;963
150;696
150;984
150;1001
150;674
150;709
150;1057
150;915
150;754
150;858
150;665
150;1086
150;729
150;804
150;700
150;808
150;765
150;902
150;787
150;1100
150;1362
150;908
150;960
150;1082
150;658
150;1498
150;978
150;876
150;831
150;868
150;796
150;758
150;730
150;803
150;715
150;856
150;580
150;1040
150;664
150;1366
150;687
200;1258
200;1118
200;865
200;864
200;1122
200;1530
200;1004
200;1316
200;1498
200;1341
200;1538
200;862
200;1090
200;961
200;1773
200;1584
200;1071
200;1553
200;1122
200;1507
200;1302
200;1149
200;1758
200;978
200;993
200;1473
200;1134
200;1073
200;1408
200;1540
200;700
200;1733
200;966
200;894
200;1320
200;997
200;1263
200;1064
200;805
200;1212
200;1095
200;1171
200;1926
200;931
200;1637
200;703
200;1216
200;1376
200;1183
200;1451
200;1193
200;1923
200;1639
200;1072
200;1164
200;905
200;872
200;1138
200;974
200;817
200;945
200;931
200;1031
200;1083
200;786
200;1219
200;1394
200;1319
200;1693
200;1114
200;1108
200;951
200;942
200;1191
200;1015
200;1191
200;1096
200;966
200;1033
200;1000
200;1043
200;1215
200;818
200;1108
200;1378
200;1064
200;1284
200;1131
200;1293
200;967
200;893
200;1455
200;918
200;1100
200;1515
200;982
200;945
200;1118
200;1140
200;1491
250;1594
250;1215
250;1784
250;1460
250;1289
250;1413
250;1337
250;1392
250;1417
250;1599
250;1415
250;1435
250;1333
250;1164
250;1502
250;1693
250;1554
250;1941
250;1988
250;1654
250;2309
250;1209
250;1170
250;1464
250;1345
250;1459
250;1330
250;1447
250;1186
250;1340
250;1648
250;2017
250;2284
250;1595
250;1836
250;1217
250;2205
250;1397
250;1163
250;1471
250;1601
250;1674
250;2037
250;1979
250;1386
250;1507
250;1539
250;1884
250;1387
250;1298
250;1296
250;1217
250;1385
250;1861
250;1330
250;1628
250;1269
250;1989
250;1637
250;1918
250;1248
250;1255
250;1490
250;1312
250;1845
250;1600
250;1818
250;1608
250;1609
250;2148
250;1342
250;1521
250;1314
250;1300
250;1510
250;1116
250;1263
250;1264
250;1302
250;1292
250;1071
250;1671
250;1119
250;1432
250;1438
250;1627
250;1503
250;1752
250;1576
250;1153
250;1276
250;1311
250;1618
250;2004
250;1163
250;1217
250;1173
250;1939
250;1793
250;1663
300;1854
300;2289
300;1781
300;2930
300;1234
300;1485
300;1579
300;2276
300;1373
300;1960
300;1818
300;1743
300;1744
300;2315
300;2523
300;2053
300;2236
300;1645
300;1998
300;1934
300;2002
300;2308
300;1541
300;1491
300;1517
300;1526
300;2442
300;1591
300;1720
300;2030
300;2846
300;2567
300;1396
300;1624
300;1886
300;1834
300;1719
300;1649
300;1460
300;2398
300;1354
300;1798
300;1641
300;1864
300;1723
300;1393
300;2609
300;1468
300;1737
300;1804
300;1790
300;1545
300;2611
300;1917
300;1515
300;2390
300;2816
300;2001
300;2627
300;1845
300;1289
300;2137
300;1526
300;1453
300;1580
300;2049
300;1916
300;1717
300;2636
300;1692
300;2058
300;2306
300;1891
300;1405
300;1914
300;2256
300;1433
300;1501
300;2432
300;1891
300;2060
300;1888
300;1516
300;1973
300;1793
300;1755
300;2369
300;2416
300;1826
300;1286
300;1532
300;1330
300;1708
300;2640
300;1627
300;1984
300;1689
300;1718
300;2179
300;1652
350;2507
350;1798
350;2531
350;2266
350;2038
350;2253
350;2442
350;2285
350;1995
350;1949
350;1916
350;1771
350;1772
350;2106
350;2113
350;1873
350;2750
350;2098
350;2416
350;2393
350;2929
350;2161
350;2152
350;2575
350;2222
350;2732
350;1868
350;2978
350;1667
350;1763
350;1922
350;4054
350;1828
350;2335
350;1867
350;2578
350;2062
350;2068
350;2307
350;2085
350;2217
350;1634
350;1869
350;2385
350;2941
350;1697
350;1832
350;2236
350;1941
350;1755
350;1893
350;2295
350;2220
350;2685
350;2717
350;1666
350;2019
350;1615
350;2723
350;1799
350;2339
350;2107
350;1901
350;2474
350;1597
350;2249
350;2796
350;2518
350;2231
350;2265
350;1811
350;2181
350;2281
350;2018
350;2448
350;2369
350;2339
350;2417
350;1929
350;2746
350;1896
350;2712
350;2404
350;2197
350;2032
350;1755
350;1795
350;1862
350;1853
350;2326
350;1997
350;1681
350;3137
350;2840
350;1763
350;3182
350;2036
350;1820
350;1888
350;2659
400;2302
400;2458
400;1666
400;2531
400;2630
400;2158
400;1997
400;3507
400;2531
400;2387
400;2980
400;2009
400;2872
400;2675
400;1974
400;2243
400;2242
400;2012
400;3555
400;2396
400;2408
400;1950
400;2947
400;3249
400;1713
400;2033
400;2867
400;2534
400;2845
400;2421
400;2922
400;2415
400;2834
400;2605
400;3174
400;2603
400;2133
400;2596
400;2645
400;2543
400;2577
400;3107
400;2761
400;2427
400;2711
400;2245
400;2963
400;1985
400;3212
400;2216
400;4259
400;2614
400;3404
400;2288
400;2003
400;2825
400;2597
400;2004
400;2722
400;2229
400;2605
400;2268
400;2453
400;2368
400;2827
400;2590
400;2345
400;3285
400;2943
400;2346
400;2620
400;3053
400;2303
400;2566
400;2882
400;2234
400;2436
400;2312
400;2949
400;1952
400;3122
400;2487
400;2408
400;2158
400;2156
400;2223
400;2786
400;2213
400;2547
400;2214
400;2930
400;1870
400;4500
400;2024
400;2223
400;2776
400;2584
400;2473
400;2801
400;2223
450;3365
450;2526
450;2695
450;5117
450;2459
450;2442
450;2626
450;3283
450;2568
450;2488
450;2459
450;2569
450;4380
450;2433
450;3705
450;2456
450;2309
450;3354
450;2725
450;2506
450;3297
450;2757
450;2899
450;3362
450;3655
450;3706
450;2861
450;2357
450;2641
450;3176
450;2636
450;2910
450;2237
450;2687
450;3329
450;3638
450;2603
450;3627
450;3660
450;3769
450;2965
450;2761
450;2690
450;2611
450;3103
450;2932
450;3072
450;2804
450;2656
450;2805
450;3159
450;2898
450;3431
450;2851
450;2423
450;4992
450;2849
450;3792
450;3537
450;2779
450;2485
450;3445
450;2457
450;3803
450;2742
450;2599
450;2678
450;2499
450;2952
450;2782
450;2767
450;2318
450;2374
450;2973
450;3242
450;2719
450;2984
450;2370
450;4870
450;3448
450;2241
450;3642
450;2714
450;2750
450;5039
450;3203
450;2192
450;2743
450;3310
450;2896
450;2720
450;2687
450;2398
450;2927
450;3613
450;2436
450;3489
450;2782
450;3152
450;2751
500;4368
500;3147
500;4363
500;3007
500;3396
500;3420
500;3909
500;3494
500;3540
500;2664
500;3852
500;3220
500;3189
500;2952
500;3085
500;2542
500;3851
500;2525
500;3321
500;3677
500;3896
500;5511
500;3915
500;3762
500;6590
500;2892
500;3908
500;5582
500;3357
500;3289
500;3942
500;2824
500;3204
500;2879
500;3294
500;2193
500;2565
500;3163
500;4645
500;3549
500;3747
500;3874
500;2642
500;3183
500;2924
500;4034
500;4069
500;2753
500;2966
500;3410
500;3655
500;3188
500;3311
500;2528
500;2460
500;4173
500;2934
500;3504
500;3893
500;2877
500;3178
500;2938
500;3171
500;2581
500;2491
500;3683
500;3014
500;3593
500;3162
500;3188
500;2897
500;3272
500;3530
500;3345
500;2968
500;3456
500;2661
500;4268
500;3031
500;2972
500;2456
500;3722
500;3154
500;3116
500;2591
500;4608
500;3180
500;3726
500;3561
500;2759
500;2959
500;2666
500;3192
500;3439
500;2458
500;3980
500;3277
500;3916
500;3478
500;2747
550;4970
550;3924
550;2814
550;3125
550;4453
550;4718
550;4546
550;3788
550;3879
550;4278
550;4183
550;4968
550;3265
550;3112
550;4072
550;4164
550;3276
550;4490
550;4198
550;4339
550;4005
550;3935
550;3846
550;3120
550;4866
550;4336
550;3643
550;3131
550;3699
550;3906
550;4097
550;5329
550;3180
550;3209
550;2535
550;4390
550;3277
550;4217
550;3442
550;4555
550;3125
550;4034
550;4401
550;3564
550;3777
550;3556
550;3536
550;4122
550;3332
550;4180
550;3980
550;4576
550;4393
550;4313
550;3834
550;2903
550;4262
550;4796
550;4331
550;3084
550;3567
550;2920
550;3103
550;4680
550;5426
550;4002
550;3745
550;3623
550;3582
550;3512
550;4075
550;4265
550;4556
550;3649
550;4137
550;3983
550;5286
550;3911
550;3859
550;3397
550;3157
550;4777
550;4135
550;5722
550;5786
550;5023
550;4084
550;3843
550;4133
550;3297
550;3961
550;4871
550;4390
550;2877
550;2618
550;3717
550;2780
550;3667
550;3478
550;4180
600;5352
600;5005
600;4710
600;3404
600;4713
600;5160
600;4309
600;3905
600;4154
600;3267
600;3101
600;3531
600;2901
600;5947
600;5529
600;3412
600;4385
600;4017
600;5812
600;5609
600;3712
600;3947
600;2845
600;6044
600;3409
600;4987
600;5025
600;3729
600;3508
600;4130
600;3446
600;3216
600;3281
600;4119
600;4000
600;3501
600;3385
600;4582
600;3394
600;3845
600;5513
600;3835
600;4767
600;3879
600;4073
600;3038
600;3750
600;3935
600;3256
600;5660
600;4529
600;3711
600;4004
600;4570
600;3795
600;3809
600;4878
600;3791
600;3376
600;3242
600;3600
600;3455
600;3610
600;4352
600;7692
600;3355
600;4356
600;4178
600;5722
600;3814
600;3381
600;4264
600;3211
600;4030
600;4356
600;4536
600;4957
600;4476
600;4504
600;4977
600;3811
600;4379
600;4735
600;3777
600;4249
600;4295
600;4350
600;3284
600;3049
600;3536
600;4874
600;4091
600;6142
600;3773
600;3391
600;4911
600;3357
600;5541
600;4413
600;3634
650;3827
650;6034
650;4960
650;5555
650;3565
650;4528
650;4773
650;3829
650;4379
650;4511
650;5151
650;4109
650;4262
650;4683
650;6629
650;3819
650;3749
650;5529
650;4856
650;4805
650;4806
650;5104
650;4813
650;3957
650;4442
650;5099
650;3798
650;4404
650;5432
650;4532
650;4068
650;5210
650;3982
650;4279
650;4843
650;4674
650;4285
650;4795
650;5686
650;4669
650;3857
650;6355
650;3794
650;4594
650;3421
650;4526
650;4089
650;4215
650;3373
650;4637
650;4753
650;4293
650;4303
650;4567
650;4401
650;3136
650;3861
650;6020
650;5317
650;5883
650;4375
650;4609
650;3885
650;4653
650;4137
650;4097
650;3759
650;3416
650;4076
650;6031
650;3620
650;4755
650;3951
650;4823
650;4548
650;5153
650;5499
650;3863
650;3559
650;4031
650;3616
650;4951
650;4384
650;6616
650;4813
650;4063
650;5265
650;4639
650;4420
650;5148
650;5954
650;5243
650;4032
650;5302
650;6406
650;4970
650;3993
650;4059
650;4386
650;5018
700;4089
700;5749
700;4419
700;6534
700;4771
700;4912
700;3557
700;3841
700;5244
700;4535
700;5297
700;5226
700;4516
700;4117
700;4958
700;4484
700;5366
700;3851
700;4383
700;4551
700;4316
700;4454
700;4473
700;5090
700;4455
700;4286
700;5220
700;4374
700;4737
700;7200
700;3522
700;5379
700;3727
700;5234
700;3782
700;4893
700;4908
700;6049
700;4139
700;6657
700;4942
700;4262
700;6340
700;4406
700;4750
700;4813
700;4298
700;5415
700;4654
700;4255
700;4402
700;5684
700;4816
700;4680
700;4128
700;4361
700;5142
700;5957
700;5568
700;3538
700;4719
700;5380
700;3990
700;5079
700;5654
700;4169
700;5037
700;5566
700;4552
700;5640
700;4773
700;4695
700;5056
700;4743
700;6729
700;4410
700;3850
700;3884
700;5546
700;4804
700;4820
700;6786
700;4914
700;5178
700;4765
700;4101
700;5166
700;4527
700;5065
700;3907
700;4557
700;3767
700;4891
700;5837
700;4451
700;5294
700;4352
700;3923
700;4521
700;3535
750;5577
750;6095
750;4139
750;5047
750;5160
750;4405
750;6249
750;5213
750;4079
750;6320
750;4700
750;5593
750;6132
750;5128
750;4424
750;5935
750;5358
750;6930
750;5213
750;7086
750;3887
750;6511
750;4445
750;5237
750;5569
750;4175
750;4183
750;4001
750;4830
750;4799
750;5182
750;4573
750;5072
750;4080
750;6604
750;5260
750;5748
750;5847
750;5416
750;4557
750;5144
750;5044
750;4885
750;5007
750;5854
750;5644
750;6990
750;5313
750;5357
750;4622
750;6787
750;6489
750;4211
750;5403
750;4636
750;5078
750;6704
750;5778
750;5132
750;4635
750;5587
750;4764
750;4359
750;4500
750;6050
750;4500
750;5998
750;4751
750;5382
750;7405
750;5660
750;4883
750;7073
750;4865
750;6552
750;7366
750;5125
750;4980
750;4718
750;5531
750;4801
750;4544
750;5178
750;4791
750;5507
750;5511
750;5186
750;4210
750;5888
750;4678
750;4262
750;6489
750;4375
750;5240
750;5670
750;4571
750;5108
750;5351
