n;cover time
100;167979
100;130342
100;337147
100;268429
100;27669
100;12260
100;23356
100;21161
100;13390
100;11030
100;124255
100;101365
100;80509
100;135586
100;94580
100;168659
100;265222
100;272617
100;261907
100;184738
100;171347
100;209824
100;86629
100;31716
100;105831
100;80113
100;160498
100;99595
100;94794
100;483757
100;3917
100;68131
100;63153
100;36459
100;363275
100;141313
100;203521
100;79271
100;201004
100;1378
100;32169
100;73292
100;4806
100;469069
100;130329
100;81183
100;100451
100;76720
100;315614
100;63492
100;93897
100;178677
100;9942
100;290958
100;159986
100;206009
100;117794
100;131254
100;272817
100;396945
100;268319
100;216777
100;404855
100;533196
100;727619
100;23119
100;5428
100;17453
100;1955
100;121526
100;69380
100;100451
100;58742
100;165215
150;11975
100;16673
100;19788
100;217313
100;108413
100;236592
100;1585
100;14635
100;382497
100;135349
100;36477
100;2166
100;14545
100;347394
100;366472
100;153850
100;310601
150;94970
100;269529
150;29178
100;59241
100;225357
150;166338
150;37890
150;190920
150;48148
100;254774
150;1589
150;198102
150;226583
100;146809
150;234767
150;256496
150;792115
150;296602
100;99398
150;41884
150;267933
100;11836
100;181807
150;13019
150;14004
100;29724
150;139692
150;271569
100;181438
150;108372
150;85727
150;665910
150;383372
150;296989
150;22959
150;151704
150;271344
150;520506
150;617492
150;1336919
150;671044
150;1557769
150;1138259
150;1287892
150;1947703
150;1821537
150;2363983
150;166690
150;182569
150;171687
150;86074
150;133300
150;244616
150;78385
150;850651
150;268654
150;537092
150;581646
150;839267
150;319219
150;11914
150;40857
150;292350
150;1090244
150;116647
150;799629
150;975161
150;437854
150;232028
150;228279
150;120219
150;543724
150;907160
150;76253
150;783555
150;10244
150;5690
150;591499
150;171521
150;606657
150;387715
150;186869
150;222941
150;47766
150;28898
150;196516
150;639590
150;1934966
150;894490
150;170252
150;279815
150;64207
150;302290
150;223696
150;811647
150;758878
150;107608
150;163224
150;9580
150;493726
150;391101
150;864211
150;386221
150;1977363
150;2308713
150;784146
150;1005698
150;743000
150;1106590
200;1176407
200;1325091
200;1671566
200;115605
200;157428
200;463231
200;433187
200;371822
200;371808
200;257611
200;942046
200;152089
200;481119
200;151227
200;138075
200;78215
200;3889
200;54426
200;146219
200;11288
200;111750
200;139512
200;92679
200;139091
200;1282832
200;1183473
200;1316887
200;1448006
200;1124077
200;1185398
200;1011384
200;927642
200;1073718
200;1040450
200;934416
200;845506
200;988146
200;931332
200;941260
200;780122
200;700928
200;778109
200;1601361
200;534985
200;576155
200;699789
200;624537
200;680511
200;1313438
200;482948
200;507604
200;506189
200;362020
200;316012
200;320725
200;361961
200;272088
200;2496336
200;2148099
200;1511950
200;2446834
200;28791
200;336031
200;822699
200;2464823
200;207752
200;1008110
200;3104636
200;65303
200;2110839
200;3938916
200;915551
200;819702
200;1058089
200;703586
200;3443656
200;797184
200;2939562
200;471753
200;577401
200;425595
200;382951
200;474983
200;272853
200;2848586
200;1366994
200;1626398
200;2052062
200;1958605
200;1546791
200;1497640
200;2661567
200;1817028
200;4300520
250;244500
200;2767228
200;2627479
200;2701177
200;2602308
200;2489772
250;137363
250;273438
250;561539
250;539078
250;126881
250;1081563
250;168599
250;1559505
250;1402440
250;2809829
250;74795
250;875280
250;938703
250;299692
250;3052837
250;1341620
250;1444123
250;917463
250;1382976
250;575495
250;683538
250;3025515
200;4383131
250;745186
250;2139837
250;455005
250;478481
250;568347
250;2520535
250;1631796
250;1565744
250;1357325
250;2786498
250;4436582
250;719114
250;2757297
250;1564326
250;1607989
250;5601721
250;5289036
250;1938129
250;2302807
250;1863854
250;584840
250;2011210
250;4600080
250;1070289
250;2319666
250;5446240
250;1066747
250;1225674
250;2121034
250;4207759
250;586200
250;4140358
250;881591
250;111231
250;2550798
250;1502790
250;295396
250;509948
250;1800314
250;811686
250;9173828
250;264092
250;713423
250;3531431
250;317345
250;3334076
250;3103271
300;1385387
250;6461466
300;195628
250;2562377
250;3711200
250;5402533
250;7076833
300;580008
300;500342
250;8188542
300;607283
250;5033299
250;2512914
300;1429582
300;265255
250;3998354
250;9171642
300;1000958
300;2036705
250;6695355
250;2581989
300;1875845
250;1264189
300;368713
300;2703679
300;531320
300;558851
250;4698894
250;2852648
300;2554627
300;584259
300;164517
300;585183
250;4156799
250;6803282
300;3888853
250;2538375
300;2303210
250;4501496
300;2005890
300;1880760
250;5176053
300;1086052
300;3542058
300;718229
250;5301211
300;2754600
250;4757147
250;2376426
250;4064404
250;3679194
300;1365947
300;4806121
250;4068354
250;5062665
250;3395782
300;1747238
300;4311428
300;4917917
250;6101564
300;5199776
300;1163984
300;1263755
300;472702
300;6089447
300;1144342
300;2865578
300;2674975
300;2315189
300;2234870
300;3734772
300;10090302
300;3848893
300;700262
300;4194915
300;1615146
250;7803152
300;3162623
300;8619939
300;1836861
300;2010691
300;3143651
300;1289262
300;1927057
300;903224
300;3951049
300;1240361
300;3014434
300;4243705
300;118676
300;3209821
300;4548329
300;2335087
300;215655
300;4471887
300;1611551
300;372285
300;835305
300;505850
300;695230
300;643386
300;786935
350;262125
300;1124390
300;894795
350;945022
300;1769298
300;1431788
300;2019995
300;2129645
350;688015
350;1934099
300;2831494
300;2576504
300;3071889
350;1946549
350;2109927
350;117988
300;2897933
300;4010096
350;2160908
300;3361365
300;4832270
350;380070
300;14527239
300;8602323
300;8278436
350;632172
350;3245335
350;1361649
350;3210152
350;2659930
350;1851181
350;3182947
300;11417348
300;7212382
350;1248233
350;4638928
300;5268291
350;2316636
350;3062567
350;223308
350;702634
300;7296428
300;13208212
350;3808201
300;9902472
350;299763
350;242426
350;281708
300;12033182
350;7115136
350;1543091
350;806592
350;2613043
300;19285641
350;6601216
350;35642
350;619142
300;13175231
350;2072522
350;3123757
350;2976210
350;2593975
350;2950666
300;21409900
350;1995846
350;1175310
350;1933043
350;2401606
350;2522254
350;4077847
350;7274210
350;11392032
350;11922950
350;3732624
400;221483
350;4466076
350;6925376
400;977068
350;6413405
350;6218800
350;12797946
350;6287883
350;2910834
300;13612960
400;328294
350;13106209
350;2000741
400;279640
400;270576
350;5909958
400;292530
350;5025049
350;6660207
350;5648007
350;8760288
350;9360653
350;11862896
350;4741895
350;7137120
400;3845495
350;5514217
400;5172658
400;2464560
400;3352768
350;10479748
400;237713
350;7009240
350;16815353
400;1842061
400;2023199
350;13000633
350;8843623
350;6632334
350;7844648
350;6690801
350;10086369
400;501319
350;7170603
400;3005817
350;9402930
400;3058681
400;844335
400;3008239
350;15095444
350;6972706
400;9861712
400;4511535
350;8262729
350;8175201
400;6967487
400;30429
400;9670210
350;10581288
350;16664330
300;24567387
400;3300548
400;3399591
400;2595158
350;14094525
400;3621926
400;5774951
400;4555278
400;1772769
400;2333935
400;2075338
400;5812872
400;3871573
400;11883548
400;3892699
400;13064690
400;3175747
350;10825710
