n;cover time
100;2891
100;18077
100;14085
100;3001
100;3557
100;4109
100;5371
100;8243
100;3439
100;8625
100;3279
100;5841
100;1717
100;4371
100;4559
100;3763
100;9319
100;7175
100;6183
100;15511
100;14697
100;6931
100;4139
100;3667
100;18657
100;3617
100;4531
100;9995
100;4279
100;10975
100;9521
100;9003
100;3913
100;24667
100;5351
100;25859
100;2331
100;7311
100;22301
100;3743
100;22865
100;44419
100;5871
100;10833
100;7761
100;5361
100;12829
100;16255
100;3313
100;9577
100;5231
100;7617
100;20153
100;3903
100;8015
100;3607
100;16449
100;1053
100;4025
100;12365
100;5505
100;12319
100;4091
100;11265
100;2669
100;6505
100;15229
100;19321
100;8287
100;16989
100;3187
100;2589
100;5715
100;1921
100;1495
100;6137
100;5803
100;27487
100;10463
100;20847
100;1735
100;3901
100;4475
100;4069
100;21207
100;7339
100;4071
100;3793
100;9589
100;12161
100;31917
100;9835
100;2705
100;14353
100;12497
100;5139
100;28297
100;7061
100;4851
100;11845
150;5355
150;7527
150;12559
150;3961
150;12049
150;69207
150;39485
150;19033
150;4339
150;25287
150;30365
150;17383
150;34307
150;25333
150;6313
150;7989
150;6273
150;40755
150;4807
150;33657
150;17893
150;7171
150;20333
150;7365
150;5059
150;42681
150;4537
150;11625
150;25561
150;50911
150;57019
150;4073
150;23975
150;2889
150;24311
150;16013
150;31323
150;25035
150;5621
150;4933
150;27099
150;66343
150;11047
150;39081
150;15163
150;9477
150;7055
150;24661
150;12467
150;11833
150;4203
150;47723
150;19749
150;35525
150;45203
150;7879
150;22043
150;27213
150;3893
150;20621
150;5741
150;13457
150;7725
150;52747
150;13817
150;53887
150;5671
150;48631
150;10159
150;10877
150;8997
150;6135
150;15575
150;9745
150;47187
150;104747
150;21839
150;23317
150;13515
150;74801
150;15267
150;9783
150;18911
150;23171
150;27591
150;15321
150;6295
150;37181
150;35797
150;16245
150;71099
150;37129
150;7161
150;40485
150;8197
150;15705
150;29941
150;11411
150;7035
150;10073
200;13793
200;21439
200;22161
200;44091
200;12813
200;67427
200;22877
200;54841
200;6397
200;27283
200;69045
200;39427
200;77793
200;42667
200;21563
200;44985
200;22273
200;117543
200;32633
200;150831
200;30113
200;15615
200;6801
200;45865
200;33715
200;17427
200;122537
200;10361
200;108345
200;2469
200;59179
200;119455
200;9373
200;29403
200;32433
200;25381
200;29695
200;9971
200;36163
200;18843
200;30633
200;45925
200;28179
200;12315
200;11603
200;23513
200;58373
200;67847
200;15299
200;6527
200;16525
200;32033
200;68195
200;54705
200;23399
200;16207
200;27683
200;23099
200;40441
200;51827
200;18083
200;8593
200;81927
200;11817
200;28205
200;67531
200;53867
200;20961
200;57173
200;35481
200;56447
200;77599
200;46757
200;30937
200;8271
200;12523
200;57325
200;53279
200;14695
200;49967
200;71467
200;139359
200;48461
200;47807
200;51139
200;47563
200;9381
200;62677
200;47781
200;105911
200;34883
200;16141
200;25519
200;27343
200;8283
200;9829
200;10695
200;39915
200;7569
200;8429
250;94519
250;30493
250;12867
250;90403
250;55933
250;52041
250;39697
250;92861
250;26307
250;25077
250;44225
250;73073
250;52835
250;79889
250;95803
250;29973
250;188903
250;54569
250;53505
250;30821
250;64413
250;55671
250;32127
250;32167
250;120445
250;304341
250;38561
250;14711
250;134531
250;77409
250;42505
250;64109
250;68317
250;106897
250;45303
250;33173
250;129851
250;42059
250;39441
250;53975
250;79107
250;17615
250;90871
250;57967
250;72683
250;18679
250;169213
250;16619
250;25089
250;18535
250;57043
250;55781
250;12969
250;130781
250;32031
250;22877
250;148511
250;38565
250;13723
250;53221
250;30659
250;37623
250;67759
250;18389
250;33803
250;146659
250;107479
250;91239
250;115531
250;44717
250;81925
250;20579
250;16081
250;64281
250;53961
250;43563
250;236761
250;84133
250;86133
250;29661
250;20413
250;15805
250;191341
250;57525
250;52461
250;68805
250;132599
250;24799
250;263319
250;35855
250;85411
250;19217
250;105553
250;102977
250;74729
250;98189
250;145777
250;5251
250;22743
250;53157
300;35905
300;30653
300;15947
300;213771
300;34429
300;189593
300;105839
300;45833
300;87583
300;89597
300;18287
300;202859
300;81135
300;31243
300;20321
300;54569
300;87879
300;61639
300;78445
300;203239
300;55679
300;21891
300;56975
300;56131
300;70291
300;141557
300;54759
300;30077
300;118495
300;112001
300;91879
300;170939
300;29743
300;63289
300;104987
300;93499
300;131897
300;237553
300;223833
300;67503
300;220887
300;33887
300;98511
300;120949
300;167829
300;25283
300;46921
300;29187
300;57285
300;272641
300;150429
300;127599
300;51531
300;69043
300;126841
300;94079
300;130085
300;12129
300;99999
300;46699
300;103067
300;78659
300;91501
300;60363
300;45583
300;459125
300;25379
300;85753
300;90775
300;88737
300;8627
300;35061
300;87149
300;166481
300;134343
300;31255
300;319429
300;221765
300;115217
300;17807
300;96163
300;9969
300;17905
300;44185
300;41267
300;18561
300;97313
300;49385
300;75213
300;92605
300;32937
300;149429
300;88173
300;31369
300;16897
300;502223
300;31851
300;412761
300;329763
300;15685
350;21573
350;66055
350;54447
350;82767
350;131957
350;30233
350;36301
350;135415
350;122027
350;204405
350;240977
350;87273
350;351709
350;24537
350;88595
350;23701
350;19937
350;40679
350;26245
350;136321
350;39115
350;53961
350;103893
350;46169
350;143615
350;142767
350;24385
350;74327
350;256091
350;108771
350;75721
350;55875
350;184531
350;81597
350;144605
350;105737
350;78175
350;97503
350;296129
350;36705
350;92811
350;75935
350;57617
350;126585
350;117979
350;120913
350;53321
350;252485
350;154215
350;47045
350;286971
350;118349
350;55487
350;498527
350;194343
350;64571
350;234383
350;91199
350;37039
350;227927
350;59731
350;74643
350;144463
350;71363
350;73177
350;47847
350;92917
350;108727
350;34929
350;135179
350;214871
350;115297
350;25395
350;240163
350;38123
350;135439
350;37295
350;61057
350;368621
350;25431
350;45519
350;186129
350;35113
350;72429
350;170903
350;96013
350;121909
350;87383
350;130765
350;49367
350;82827
350;125487
350;122643
350;42607
350;105907
350;51857
350;12673
350;237977
350;65815
350;121357
400;110621
400;28539
400;240505
400;199897
400;60857
400;36109
400;125961
400;34801
400;56915
400;91459
400;47185
400;238569
400;326471
400;65671
400;346207
400;177193
400;215467
400;362431
400;53533
400;171737
400;196173
400;86531
400;305153
400;192139
400;542695
400;39423
400;283649
400;445121
400;35925
400;164071
400;148427
400;58041
400;34023
400;124949
400;104773
400;145695
400;55503
400;262859
400;71967
400;91517
400;54667
400;243795
400;145557
400;93465
400;92745
400;68179
400;57809
400;139271
400;148383
400;72085
400;45367
400;109383
400;181535
400;40193
400;171307
400;142159
400;296283
400;112859
400;109511
400;118723
400;69775
400;418525
400;46871
400;128669
400;208975
400;147471
400;353957
