n;cover time
100;32730
100;8852
100;6865
100;13293
100;10893
100;11251
100;5836
100;3016
100;3548
100;5631
100;5428
100;11814
100;21592
100;41085
100;25183
100;5416
100;7584
100;37629
100;19832
100;11319
100;8083
100;29737
100;19412
100;3500
100;5944
100;16875
100;18933
100;24928
100;11086
100;14046
100;7149
100;9412
100;17711
100;7506
100;10818
100;26770
100;14435
100;12993
100;2316
100;5877
100;5548
100;6630
100;4840
100;5973
100;19473
100;10751
100;9402
100;8886
100;24869
100;10149
100;6893
100;9370
100;15883
100;13908
100;4434
100;9514
100;19503
100;5900
100;10702
100;6296
100;30396
100;2118
100;5252
100;16780
100;7562
100;10202
100;6051
100;19549
100;11620
100;13757
100;2777
100;34530
100;12238
100;12099
100;10663
100;18752
100;12167
100;7201
100;32445
100;8634
100;9866
100;13511
100;6175
100;3760
100;19005
100;14908
100;13356
100;17357
100;9768
100;16315
100;13691
100;14375
100;6990
100;8262
100;28967
100;2776
100;11994
100;8179
100;7804
100;8264
150;6985
150;7706
150;26293
150;39207
150;44005
150;19353
150;22873
150;24173
150;19873
150;37269
150;11808
150;15536
150;40469
150;29998
150;38091
150;17290
150;20418
150;29316
150;30331
150;8153
150;89501
150;25726
150;16286
150;24764
150;26879
150;16176
150;7788
150;21371
150;19847
150;9116
150;8614
150;8315
150;33621
150;15011
150;12655
150;38614
150;38449
150;27569
150;30461
150;12370
150;9433
150;11823
150;49616
150;34988
150;29839
150;14705
150;39677
150;54532
150;21147
150;12629
150;18565
150;51507
150;90031
150;45024
150;21665
150;49305
150;15665
150;31828
150;11963
150;60160
150;18668
150;33086
150;17556
150;16503
150;35904
150;35151
150;22220
150;20639
150;30247
150;25839
150;11881
150;39339
150;7995
150;46937
150;41034
150;11759
150;26131
150;25581
150;19517
150;14113
150;34644
150;14407
150;41212
150;38286
150;14698
150;50075
150;18975
150;10151
150;34175
150;11781
150;57586
150;12277
150;10158
150;9391
150;9925
150;18552
150;14521
150;41194
150;18166
150;22629
200;46890
200;49340
200;75300
200;115889
200;24250
200;39881
200;53301
200;56252
200;8879
200;56483
200;28460
200;17228
200;65061
200;100834
200;104452
200;22949
200;20364
200;51808
200;174041
200;59339
200;69135
200;20432
200;32430
200;68433
200;18276
200;31480
200;31952
200;68297
200;19109
200;63256
200;126978
200;41301
200;13100
200;31422
200;36437
200;30248
200;99891
200;33982
200;57790
200;26263
200;47680
200;24976
200;23573
200;39046
200;60882
200;66804
200;119237
200;20215
200;74556
200;50901
200;16727
200;50072
200;38854
200;93232
200;32258
200;30629
200;99924
200;56660
200;54046
200;47020
200;40472
200;56857
200;39140
200;10440
200;28191
200;12905
200;49194
200;89905
200;11672
200;22215
200;32494
200;91262
200;41748
200;59156
200;62750
200;45589
200;124947
200;235599
200;38264
200;96624
200;30120
200;20041
200;33180
200;174949
200;39093
200;24219
200;8897
200;36946
200;56773
200;67070
200;21588
200;115290
200;81731
