10;21;68
20;66;176
30;113;296
40;164;432
50;224;572
60;281;712
70;343;864
80;410;1024
90;479;1184
100;548;1344
110;615;1504
120;683;1664
130;755;1828
140;842;2008
150;905;2188
160;983;2368
170;1052;2548
180;1136;2728
190;1196;2908
200;1289;3088
1000;8730;19952
2000;19433;43904
3000;30939;69808
4000;42887;95808
5000;55274;123616
6000;67850;151616
7000;80605;179616
8000;93551;207616
9000;106997;237232
10000;120411;267232
11000;133923;297232
12000;147691;327232
13000;161613;357232
14000;175379;387232
15000;189247;417232
16000;203290;447232
17000;217469;478464
18000;232103;510464
19000;246534;542464
20000;260878;574464
