10;46;2
20;129;20
30;212;35
40;341;53
50;430;59
60;563;87
70;609;105
80;744;119
90;1034;124
100;926;157
110;1030;167
120;1238;191
130;1314;220
140;1347;228
150;1676;252
160;1638;282
170;1782;294
180;2038;298
190;2037;355
200;2503;338
1000;14975;2266
2000;30867;5073
3000;48667;8033
4000;69371;11019
5000;95433;14023
6000;105520;17509
7000;127671;20959
8000;142875;24139
9000;171018;27162
10000;179605;31172
11000;212364;34192
12000;223983;38203
13000;255366;41532
14000;288323;44248
15000;285841;48772
16000;305599;52290
17000;336422;55073
18000;375059;58058
19000;375339;63309
20000;412539;65387
