n	średniaLiczbaPorównań	maksLiczbaPorównańDlaJednejOperacji	średniaLiczbaOdczytówIPodstawieńWskaźników	maksLiczbaOdczytówIPodstawień	średniaWysokośćDrzewaPoKażdejOperacji	maksWysokośćDrzewa
10000	22.1932	47	37.1262	85	21.4982	24
10000	22.1392	45	37.1941	85	21.4369	24
10000	22.1698	45	37.1164	85	21.2458	24
10000	22.1489	45	37.1547	85	21.428	24
10000	22.1853	45	37.1402	85	21.2169	24
10000	22.1653	45	37.2062	85	21.288	24
10000	22.1689	47	37.0943	85	21.4304	24
10000	22.1741	45	37.1378	86	21.1516	24
10000	22.1511	45	37.144	85	21.3276	24
10000	22.1837	45	37.1549	85	21.189	24
10000	22.1597	45	37.203	85	21.2249	24
10000	22.1646	47	37.1655	85	21.5265	24
10000	22.1644	45	37.1928	85	21.4098	24
10000	22.158	45	37.1734	85	21.8192	24
10000	22.1383	45	37.1767	85	21.5851	24
10000	22.1802	43	37.125	85	21.25	24
10000	22.1565	47	37.177	85	21.3201	24
10000	22.1455	45	37.2136	85	21.6966	24
10000	22.1485	45	37.1851	85	21.4574	24
10000	22.1788	45	37.1226	85	21.5681	24
20000	24.1571	49	38.628	91	23.2359	26
20000	24.1778	49	38.6347	91	23.4029	26
20000	24.1734	49	38.6105	91	23.3252	26
20000	24.154	47	38.6874	91	23.2552	26
20000	24.1581	51	38.7242	91	23.1857	26
20000	24.1883	49	38.6303	91	23.448	26
20000	24.1676	49	38.6315	91	23.4794	26
20000	24.1773	47	38.6199	91	23.2477	26
20000	24.1658	49	38.6689	91	23.8019	26
20000	24.1713	47	38.6408	91	23.706	26
20000	24.1654	49	38.6622	91	22.9617	26
20000	24.1434	51	38.6902	91	23.4233	26
20000	24.1681	49	38.7138	91	23.2085	26
20000	24.1724	49	38.6635	91	23.3476	26
20000	24.1612	51	38.6865	91	23.2833	26
20000	24.1807	49	38.658	91	23.3394	26
20000	24.1708	49	38.6354	91	23.698	26
20000	24.1665	49	38.6788	91	23.4117	26
20000	24.1677	49	38.6711	91	23.051	26
20000	24.1534	49	38.7069	91	23.8339	26
30000	25.146	51	39.4055	96	24.3889	27
30000	25.1495	53	39.4463	96	24.4068	27
30000	25.1431	51	39.4662	96	24.3306	27
30000	25.1428	49	39.4558	96	24.3027	27
30000	25.1301	51	39.4821	96	24.2156	27
30000	25.1427	53	39.4222	96	24.294	27
30000	25.1586	51	39.4143	96	24.3606	27
30000	25.149	51	39.4606	96	24.1992	27
30000	25.1446	49	39.4447	96	24.203	27
30000	25.1461	51	39.4321	96	24.7284	27
30000	25.1459	53	39.4501	96	24.5611	27
30000	25.1425	49	39.4407	96	24.3994	27
