n	średniaLiczbaPorównań	maksLiczbaPorównańDlaJednejOperacji	średniaLiczbaOdczytówIPodstawieńWskaźników	maksLiczbaOdczytówIPodstawień	średniaWysokośćDrzewaPoKażdejOperacji	maksWysokośćDrzewa
10000	21.2406	17091	174.657	145252	2528.84	10000
10000	21.1203	15391	174.149	130802	2530.17	10000
10000	20.7362	11301	171.162	96037	2530.85	10000
10000	21.9431	14019	180.959	119140	2528.66	10000
10000	20.2014	6963	166.021	59164	2531.03	10000
10000	21.9902	13185	181.364	112051	2530.18	10000
10000	21.8758	12647	180.207	107478	2530.88	10000
10000	21.2958	11961	175.437	101647	2531.58	10000
10000	21.2279	12071	174.741	102582	2531.89	10000
10000	21.3605	7029	176.36	59725	2528.49	10000
10000	23.02	16583	190.319	140934	2531.2	10000
10000	22.6434	13813	186.81	117389	2532.23	10000
10000	21.9006	18015	181.115	153106	2529.46	10000
10000	20.9877	10445	172.851	88761	2528.86	10000
10000	21.1195	7525	174.134	63941	2530.46	10000
10000	21.4052	12225	176.65	103891	2529.19	10000
10000	21.8318	15921	179.679	135307	2529.04	10000
10000	22.2866	19441	183.932	165227	2532.21	10000
10000	21.0064	10607	173.167	90138	2530.64	10000
10000	21.5589	18459	177.446	156880	2530.52	10000
20000	23.18	12203	191.393	103704	5033.87	20000
20000	24.3336	16731	201.624	142192	5034.88	20000
20000	25.4622	39783	211.185	338134	5034.19	20000
20000	23.3191	14445	192.723	122761	5036.9	20000
20000	24.1977	33231	200.347	282442	5037.04	20000
20000	24.163	38527	200.054	327458	5037.3	20000
20000	25.1913	34237	208.78	290993	5035.89	20000
20000	23.019	19191	190.021	163102	5037.56	20000
20000	24.5993	35177	203.992	298983	5034.71	20000
20000	23.5346	17417	194.919	148023	5032.77	20000
20000	23.7609	21911	196.25	186222	5034.79	20000
20000	23.0678	23855	190.589	202746	5033.02	20000
20000	23.1409	17695	191.417	150386	5036.86	20000
20000	24.8747	29127	205.603	247558	5035.82	20000
20000	23.7055	33137	195.916	281643	5033.77	20000
20000	23.1887	17253	191.536	146629	5033.4	20000
20000	25.319	36945	209.824	314011	5037.08	20000
20000	23.2457	35995	191.898	305936	5034.81	20000
